pointX,pointY,size,angle,response,octave,classId
152.069,118.889,20,190.936,864.73,0,-1
64.5125,162.386,15,78.0821,863.108,0,-1
94.1782,185.829,16,12.6645,854.3,0,-1
68.2832,61.7901,16,88.3812,848.706,0,1
95.4622,27.1986,13,299.207,827.593,0,1
195.651,164.343,13,271.079,817.473,0,-1
248.217,175.873,20,261.943,811.819,0,1
204.185,21.4429,14,142.65,795.853,0,-1
142.469,129.997,22,210.22,789.024,0,-1
207.344,87.0354,19,202.025,788.636,0,-1
234.961,192.147,16,89.4456,788.368,0,1
11.8405,129.929,15,94.298,782.343,0,1
41.5746,59.1383,19,84.8815,781.657,0,1
202.18,192.677,15,88.9993,768.275,0,1
296.072,134.825,28,87.3726,766.483,0,1
91.8723,139.83,40,74.6888,751.504,1,-1
285.916,187.209,19,88.8967,746.672,0,-1
118.67,148.901,27,82.3194,731.097,0,1
295.271,133.877,34,87.7833,726.2,1,1
273.409,87.4961,13,3.84221,725.242,0,1
15.8701,119.393,15,270.908,724.76,0,1
127.485,14.996,21,289.323,721.038,0,1
163.203,122.419,27,350.923,711.869,1,1
97.4537,23.8912,13,303.84,692.954,0,1
76.8098,206.897,15,94.092,688.606,0,-1
98.27,173.312,15,88.7157,685.012,0,-1
62.7615,59.8835,25,89.7862,683.409,1,1
229.928,101.854,15,91.0449,679.917,0,-1
175.685,35.4042,16,278.302,676.258,0,-1
94.5542,134.211,51,85.6172,672.957,1,-1
222.942,184.437,15,87.3356,665.869,0,1
164.975,106.853,22,346.523,658.244,0,1
69.5175,144.104,12,59.0735,650.86,0,1
122.65,35.0417,43,276.114,649.416,1,1
132.89,109.047,41,197.585,638.359,1,-1
87.5014,31.984,26,280.554,632.581,1,-1
44.4788,197.761,15,272.674,625.057,0,-1
149.832,59.9001,25,81.9204,621.528,0,1
138.946,202.81,16,85.9636,620.456,0,1
41.9732,226.676,16,276.045,614.974,0,-1
288.192,148.09,21,87.7278,610.127,0,-1
41.1697,111.257,16,170.19,600.209,0,1
184.059,11.2589,12,208.499,598.653,0,1
46.7739,120.208,20,185.222,596.236,0,-1
44.3512,120.582,28,189.48,592.846,1,-1
143.433,114.067,20,179.447,579.013,0,1
158.566,92.8523,26,324.13,578.053,0,-1
167.843,107.59,17,355.549,572.091,0,1
205.931,126.802,14,123.247,565.499,0,1
291.162,40.9684,30,271.556,553.688,1,1
34.4098,112.416,45,221.517,551.778,1,-1
121.997,17.2014,21,278.542,546.343,0,1
253.309,137.633,27,109.51,545.238,0,1
157.931,91.7817,24,338.191,544.971,0,-1
283.639,14.6653,23,93.926,543.316,0,-1
86.0057,104.241,15,20.6004,533.571,0,-1
83.8869,75.1606,19,193.319,533.394,0,1
246.067,181.217,20,261.913,529.436,0,1
24.2486,132.505,29,285.469,529.031,1,-1
80.0388,50.0328,39,97.5192,526.569,1,1
132.496,30.0901,16,274.192,524.108,0,1
282.922,18.6458,28,93.3356,524.108,0,-1
289.194,84.9877,15,195.838,521.315,0,1
240.665,93.4805,13,93.823,518.606,0,1
185.839,189.552,25,89.3251,511.378,0,1
135.537,200.759,29,86.3562,507.374,0,1
124.396,17.1448,22,279.964,505.887,0,1
90.3578,102.737,27,3.94763,501.562,0,-1
195.121,200.551,27,88.4891,501.369,0,-1
19.6105,174.437,17,95.0884,498.708,0,1
43.2611,82.4534,14,356.498,494.109,0,1
179.147,76.8678,14,351.694,492.727,0,1
290.434,86.1851,20,195.641,483.545,0,1
157.9,109.696,15,178.424,480.085,0,1
65.2391,111.492,22,198.048,477.265,0,1
268.826,99.9327,15,1.55434,469.08,0,-1
301.016,149.138,15,88.3194,464.012,0,-1
58.6482,67.9866,27,88.2588,457.997,0,-1
30.2646,106.469,20,92.1407,453.83,0,-1
270.573,162.516,12,310.874,446.102,0,1
196.083,173.418,27,275.966,444.219,0,1
28.6584,110.885,33,97.3345,442.958,1,-1
91.0085,103.06,28,4.87001,441.15,1,-1
222.149,56.6218,11,280.674,433.14,0,1
95.9723,178.753,51,86.4346,423.994,1,-1
53.8467,36.1827,52,80.5677,420.327,1,-1
36.6047,185.61,14,266.091,415.589,0,1
180.628,45.5816,29,274.604,415.411,0,1
264.114,18.4992,14,123.051,414.585,0,1
219.232,199.301,17,87.8704,409.311,0,-1
44.7736,58.243,24,85.0492,401.911,0,1
127.612,18.4401,13,280.488,401.547,0,1
